Preamble,Stimulus,True_Category,Item,Rank,Category
"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: rug, bench, pillow, drawer, television, davenport, rocker, desk, refrigerator, buffet, end table, picture, radio, table, clock, lamp, coffee table, stereo, bar, mirror, bookcase, night table, bookcase, sofa, footstool, rocking chair, sewing machine, drape, hassock, cedar chest, dresser. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, chair is ",present,absent,chair,1,furniture
"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: rug, bench, pillow, drawer, television, davenport, rocker, desk, refrigerator, buffet, end table, picture, radio, table, clock, lamp, coffee table, stereo, bar, mirror, bookcase, night table, bookcase, sofa, footstool, rocking chair, sewing machine, drape, hassock, cedar chest, dresser. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, sofa is ",present,present,sofa,2,furniture
"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: rug, bench, pillow, drawer, television, davenport, rocker, desk, refrigerator, buffet, end table, picture, radio, table, clock, lamp, coffee table, stereo, bar, mirror, bookcase, night table, bookcase, sofa, footstool, rocking chair, sewing machine, drape, hassock, cedar chest, dresser. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, couch is ",present,absent,couch,3,furniture
"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: rug, bench, pillow, drawer, television, davenport, rocker, desk, refrigerator, buffet, end table, picture, radio, table, clock, lamp, coffee table, stereo, bar, mirror, bookcase, night table, bookcase, sofa, footstool, rocking chair, sewing machine, drape, hassock, cedar chest, dresser. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, table is ",present,present,table,4,furniture
"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: rug, bench, pillow, drawer, television, davenport, rocker, desk, refrigerator, buffet, end table, picture, radio, table, clock, lamp, coffee table, stereo, bar, mirror, bookcase, night table, bookcase, sofa, footstool, rocking chair, sewing machine, drape, hassock, cedar chest, dresser. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, easy chair is ",present,absent,easy chair,5,furniture
"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: rug, bench, pillow, drawer, television, davenport, rocker, desk, refrigerator, buffet, end table, picture, radio, table, clock, lamp, coffee table, stereo, bar, mirror, bookcase, night table, bookcase, sofa, footstool, rocking chair, sewing machine, drape, hassock, cedar chest, dresser. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, dresser is ",present,present,dresser,6,furniture
"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: rug, bench, pillow, drawer, television, davenport, rocker, desk, refrigerator, buffet, end table, picture, radio, table, clock, lamp, coffee table, stereo, bar, mirror, bookcase, night table, bookcase, sofa, footstool, rocking chair, sewing machine, drape, hassock, cedar chest, dresser. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, rocking chair is ",present,present,rocking chair,7,furniture
"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: rug, bench, pillow, drawer, television, davenport, rocker, desk, refrigerator, buffet, end table, picture, radio, table, clock, lamp, coffee table, stereo, bar, mirror, bookcase, night table, bookcase, sofa, footstool, rocking chair, sewing machine, drape, hassock, cedar chest, dresser. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, coffee table is ",present,present,coffee table,8,furniture
"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: rug, bench, pillow, drawer, television, davenport, rocker, desk, refrigerator, buffet, end table, picture, radio, table, clock, lamp, coffee table, stereo, bar, mirror, bookcase, night table, bookcase, sofa, footstool, rocking chair, sewing machine, drape, hassock, cedar chest, dresser. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, rocker is ",present,present,rocker,9,furniture
"Following is a list that contains a number of furniture. After the list, a furniture will be judged as either present or absent in the list. If the list contains the furniture, answer with present. If the list does not contain the furniture, answer with absent. The list of furniture is: rug, bench, pillow, drawer, television, davenport, rocker, desk, refrigerator, buffet, end table, picture, radio, table, clock, lamp, coffee table, stereo, bar, mirror, bookcase, night table, bookcase, sofa, footstool, rocking chair, sewing machine, drape, hassock, cedar chest, dresser. According to the list, bookcase is present. According to the list, wardrobe is absent. According to the list, love seat is ",present,absent,love seat,10,furniture
