Preamble,Stimulus,True_Category,Item,Rank,Category
"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: skateboard, horse, tractor, skate, minivan, Honda, airplane, motorcycle, canoe, jet, taxi, tank, sled, raft, bicycle, train, truck, rowboat, bus, dogsled, ship, yacht, cart, elevator, automobile. According to the list, minivan is present. According to the list, SUV is absent. According to the list, automobile is ",present,present,automobile,1,vehicle
"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: skateboard, horse, tractor, skate, minivan, Honda, airplane, motorcycle, canoe, jet, taxi, tank, sled, raft, bicycle, train, truck, rowboat, bus, dogsled, ship, yacht, cart, elevator, automobile. According to the list, minivan is present. According to the list, SUV is absent. According to the list, station wagon is ",present,absent,station wagon,2,vehicle
"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: skateboard, horse, tractor, skate, minivan, Honda, airplane, motorcycle, canoe, jet, taxi, tank, sled, raft, bicycle, train, truck, rowboat, bus, dogsled, ship, yacht, cart, elevator, automobile. According to the list, minivan is present. According to the list, SUV is absent. According to the list, truck is ",present,present,truck,3,vehicle
"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: skateboard, horse, tractor, skate, minivan, Honda, airplane, motorcycle, canoe, jet, taxi, tank, sled, raft, bicycle, train, truck, rowboat, bus, dogsled, ship, yacht, cart, elevator, automobile. According to the list, minivan is present. According to the list, SUV is absent. According to the list, car is ",present,absent,car,4,vehicle
"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: skateboard, horse, tractor, skate, minivan, Honda, airplane, motorcycle, canoe, jet, taxi, tank, sled, raft, bicycle, train, truck, rowboat, bus, dogsled, ship, yacht, cart, elevator, automobile. According to the list, minivan is present. According to the list, SUV is absent. According to the list, bus is ",present,present,bus,5,vehicle
"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: skateboard, horse, tractor, skate, minivan, Honda, airplane, motorcycle, canoe, jet, taxi, tank, sled, raft, bicycle, train, truck, rowboat, bus, dogsled, ship, yacht, cart, elevator, automobile. According to the list, minivan is present. According to the list, SUV is absent. According to the list, taxi is ",present,present,taxi,6,vehicle
"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: skateboard, horse, tractor, skate, minivan, Honda, airplane, motorcycle, canoe, jet, taxi, tank, sled, raft, bicycle, train, truck, rowboat, bus, dogsled, ship, yacht, cart, elevator, automobile. According to the list, minivan is present. According to the list, SUV is absent. According to the list, jeep is ",present,absent,jeep,7,vehicle
"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: skateboard, horse, tractor, skate, minivan, Honda, airplane, motorcycle, canoe, jet, taxi, tank, sled, raft, bicycle, train, truck, rowboat, bus, dogsled, ship, yacht, cart, elevator, automobile. According to the list, minivan is present. According to the list, SUV is absent. According to the list, ambulance is ",present,absent,ambulance,8,vehicle
"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: skateboard, horse, tractor, skate, minivan, Honda, airplane, motorcycle, canoe, jet, taxi, tank, sled, raft, bicycle, train, truck, rowboat, bus, dogsled, ship, yacht, cart, elevator, automobile. According to the list, minivan is present. According to the list, SUV is absent. According to the list, motorcycle is ",present,present,motorcycle,9,vehicle
"Following is a list that contains a number of vehicles. After the list, a vehicle will be judged as either present or absent in the list. If the list contains the vehicle, answer with present. If the list does not contain the vehicle, answer with absent. The list of vehicles is: skateboard, horse, tractor, skate, minivan, Honda, airplane, motorcycle, canoe, jet, taxi, tank, sled, raft, bicycle, train, truck, rowboat, bus, dogsled, ship, yacht, cart, elevator, automobile. According to the list, minivan is present. According to the list, SUV is absent. According to the list, streetcar is ",present,absent,streetcar,10,vehicle
