Preamble,Stimulus,True_Category,Item,Rank,Category
"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: pogo stick, hula hoop, cards, jump rope, wagon, baseball, kite, drum, checkers, airplane, block, crayons, bicycle, lego, rope, erector set, dishes, boat, mitt, doll, horse, coloring book, seesaw, jack-in-the-box, doll house, tractor, truck, sled, tennis racket, water pistol, rocking horse. According to the list, lego is present. According to the list, action figure is absent. According to the list, doll is ",present,present,doll,1,toys
"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: pogo stick, hula hoop, cards, jump rope, wagon, baseball, kite, drum, checkers, airplane, block, crayons, bicycle, lego, rope, erector set, dishes, boat, mitt, doll, horse, coloring book, seesaw, jack-in-the-box, doll house, tractor, truck, sled, tennis racket, water pistol, rocking horse. According to the list, lego is present. According to the list, action figure is absent. According to the list, top is ",present,absent,top,2,toys
"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: pogo stick, hula hoop, cards, jump rope, wagon, baseball, kite, drum, checkers, airplane, block, crayons, bicycle, lego, rope, erector set, dishes, boat, mitt, doll, horse, coloring book, seesaw, jack-in-the-box, doll house, tractor, truck, sled, tennis racket, water pistol, rocking horse. According to the list, lego is present. According to the list, action figure is absent. According to the list, jack-in-the-box is ",present,present,jack-in-the-box,3,toys
"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: pogo stick, hula hoop, cards, jump rope, wagon, baseball, kite, drum, checkers, airplane, block, crayons, bicycle, lego, rope, erector set, dishes, boat, mitt, doll, horse, coloring book, seesaw, jack-in-the-box, doll house, tractor, truck, sled, tennis racket, water pistol, rocking horse. According to the list, lego is present. According to the list, action figure is absent. According to the list, toy soldier is ",present,absent,toy soldier,4,toys
"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: pogo stick, hula hoop, cards, jump rope, wagon, baseball, kite, drum, checkers, airplane, block, crayons, bicycle, lego, rope, erector set, dishes, boat, mitt, doll, horse, coloring book, seesaw, jack-in-the-box, doll house, tractor, truck, sled, tennis racket, water pistol, rocking horse. According to the list, lego is present. According to the list, action figure is absent. According to the list, yo-yo is ",present,absent,yo-yo,5,toys
"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: pogo stick, hula hoop, cards, jump rope, wagon, baseball, kite, drum, checkers, airplane, block, crayons, bicycle, lego, rope, erector set, dishes, boat, mitt, doll, horse, coloring book, seesaw, jack-in-the-box, doll house, tractor, truck, sled, tennis racket, water pistol, rocking horse. According to the list, lego is present. According to the list, action figure is absent. According to the list, block is ",present,present,block,6,toys
"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: pogo stick, hula hoop, cards, jump rope, wagon, baseball, kite, drum, checkers, airplane, block, crayons, bicycle, lego, rope, erector set, dishes, boat, mitt, doll, horse, coloring book, seesaw, jack-in-the-box, doll house, tractor, truck, sled, tennis racket, water pistol, rocking horse. According to the list, lego is present. According to the list, action figure is absent. According to the list, marbles is ",present,absent,marbles,7,toys
"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: pogo stick, hula hoop, cards, jump rope, wagon, baseball, kite, drum, checkers, airplane, block, crayons, bicycle, lego, rope, erector set, dishes, boat, mitt, doll, horse, coloring book, seesaw, jack-in-the-box, doll house, tractor, truck, sled, tennis racket, water pistol, rocking horse. According to the list, lego is present. According to the list, action figure is absent. According to the list, rattle is ",present,absent,rattle,8,toys
"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: pogo stick, hula hoop, cards, jump rope, wagon, baseball, kite, drum, checkers, airplane, block, crayons, bicycle, lego, rope, erector set, dishes, boat, mitt, doll, horse, coloring book, seesaw, jack-in-the-box, doll house, tractor, truck, sled, tennis racket, water pistol, rocking horse. According to the list, lego is present. According to the list, action figure is absent. According to the list, stuffed animal is ",present,absent,stuffed animal,9,toys
"Following is a list that contains a number of toys. After the list, a toy will be judged as either present or absent in the list. If the list contains the toy, answer with present. If the list does not contain the toy, answer with absent. The list of toys is: pogo stick, hula hoop, cards, jump rope, wagon, baseball, kite, drum, checkers, airplane, block, crayons, bicycle, lego, rope, erector set, dishes, boat, mitt, doll, horse, coloring book, seesaw, jack-in-the-box, doll house, tractor, truck, sled, tennis racket, water pistol, rocking horse. According to the list, lego is present. According to the list, action figure is absent. According to the list, water pistol is ",present,present,water pistol,10,toys
