Preamble|Person|Fan_Person|Place|Fan_Place|Dependent_Variable|True_Category|stimulus_prob
"Following is a list of sentences. A Clerk is in the Courthouse. A Clerk is in the Hotel. A Journalist is in the Hotel. A Pastor is in the Courthouse. A Chef is in the Police Station. A Pastor is in the Hotel. A Writer is in the Hotel. A Builder is in the Hotel. A Clerk is in the Bank. A Doctor is in the Studio. A Artist is in the Police Station. A Doctor is in the Church. A Pastor is in the Bank. A Pastor is in the Restaurant. A Writer is in the Bank. A Chef is in the Church. A Pastor is in the University. A Architect is in the Farm. A Doctor is in the Library. A Clerk is in the Police Station. A Pharmacist is in the Hotel. A Journalist is in the Police Station. A Artist is in the Office Building. A Clerk is in the Laboratory. A Doctor is in the Park. A Clerk is in the Studio. A Clerk is in the Church. A Librarian is in the Bank. A Journalist is in the Studio. A Architect is in the Laboratory. A Doctor is in the Hotel. A Journalist is in the Church. A Pastor is in the Church. A Clerk is in the Construction Site. A Clerk is in the Library. A Writer is in the Pharmacy. A Doctor is in the Bank. A Doctor is in the University. A Electrician is in the Studio. A Police Officer is in the Restaurant. A Teacher is in the Police Station. A Chef is in the Bank. A Nurse is in the Police Station. A Chef is in the Farm. A Clerk is in the Hospital. A Clerk is in the Agency. A Artist is in the Restaurant. A Clerk is in the School. A Librarian is in the Studio. A Pastor is in the Park. Sentence 1 is ""A Doctor is in the Hospital"". In the previous list, Sentence 1 is "|Doctor|0.14|Hospital|0.02|present|absent|[-16.45758056640625, -14.13210678100586, -16.2097225189209, -17.687660217285156, -16.100919723510742, -15.00941276550293, -14.645334243774414, -15.65169906616211, -13.735326766967773, -17.42722511291504, -18.945148468017578, -13.030693054199219, -13.693836212158203, -13.194358825683594, -14.338878631591797, -17.381614685058594, -15.724845886230469, -16.51784896850586, -16.956830978393555, -15.522275924682617, -19.840267181396484, -15.610998153686523, -14.492919921875, -13.146038055419922, -14.803661346435547, -16.354658126831055, -15.372241973876953, -16.135387420654297, -13.314937591552734, -15.728788375854492, -16.575353622436523, -16.17490577697754, -15.426006317138672, -16.4168701171875, -15.511913299560547, -15.286430358886719, -16.720439910888672, -14.13682746887207, -14.393556594848633, -13.044340133666992, -20.911865234375, -15.287313461303711, -16.390474319458008, -15.220548629760742, -14.498212814331055, -16.070432662963867, -15.232431411743164, -14.873893737792969, -18.164161682128906, -15.885618209838867]
"Following is a list of sentences. A Clerk is in the Courthouse. A Clerk is in the Hotel. A Journalist is in the Hotel. A Pastor is in the Courthouse. A Chef is in the Police Station. A Pastor is in the Hotel. A Writer is in the Hotel. A Builder is in the Hotel. A Clerk is in the Bank. A Doctor is in the Studio. A Artist is in the Police Station. A Doctor is in the Church. A Pastor is in the Bank. A Pastor is in the Restaurant. A Writer is in the Bank. A Chef is in the Church. A Pastor is in the University. A Architect is in the Farm. A Doctor is in the Library. A Clerk is in the Police Station. A Pharmacist is in the Hotel. A Journalist is in the Police Station. A Artist is in the Office Building. A Clerk is in the Laboratory. A Doctor is in the Park. A Clerk is in the Studio. A Clerk is in the Church. A Librarian is in the Bank. A Journalist is in the Studio. A Architect is in the Laboratory. A Doctor is in the Hotel. A Journalist is in the Church. A Pastor is in the Church. A Clerk is in the Construction Site. A Clerk is in the Library. A Writer is in the Pharmacy. A Doctor is in the Bank. A Doctor is in the University. A Electrician is in the Studio. A Police Officer is in the Restaurant. A Teacher is in the Police Station. A Chef is in the Bank. A Nurse is in the Police Station. A Chef is in the Farm. A Clerk is in the Hospital. A Clerk is in the Agency. A Artist is in the Restaurant. A Clerk is in the School. A Librarian is in the Studio. A Pastor is in the Park. Sentence 1 is ""A Doctor is in the Park"". In the previous list, Sentence 1 is "|Doctor|0.14|Park|0.04|present|present|[-14.140613555908203, -13.224649429321289, -14.98807144165039, -16.3376522064209, -16.277124404907227, -16.84039306640625, -14.318414688110352, -14.042135238647461, -16.9791316986084, -14.864381790161133, -12.45185661315918, -17.272724151611328, -15.978200912475586, -15.783920288085938, -13.906513214111328, -18.70132064819336, -16.116165161132812, -15.34358024597168, -17.647621154785156, -16.086336135864258, -16.386188507080078, -15.416608810424805, -16.91912841796875, -12.915021896362305, -14.481382369995117, -15.465471267700195, -19.357255935668945, -14.930591583251953, -19.246843338012695, -16.694141387939453, -12.627996444702148, -13.584423065185547, -16.37221336364746, -14.702554702758789, -16.906404495239258, -17.47329330444336, -15.456464767456055, -15.96507453918457, -16.019229888916016, -14.946094512939453, -15.298450469970703, -14.550666809082031, -16.058576583862305, -14.179141998291016, -13.841442108154297, -16.025606155395508, -13.032463073730469, -16.239055633544922, -16.45511245727539, -16.616397857666016]
"Following is a list of sentences. A Clerk is in the Courthouse. A Clerk is in the Hotel. A Journalist is in the Hotel. A Pastor is in the Courthouse. A Chef is in the Police Station. A Pastor is in the Hotel. A Writer is in the Hotel. A Builder is in the Hotel. A Clerk is in the Bank. A Doctor is in the Studio. A Artist is in the Police Station. A Doctor is in the Church. A Pastor is in the Bank. A Pastor is in the Restaurant. A Writer is in the Bank. A Chef is in the Church. A Pastor is in the University. A Architect is in the Farm. A Doctor is in the Library. A Clerk is in the Police Station. A Pharmacist is in the Hotel. A Journalist is in the Police Station. A Artist is in the Office Building. A Clerk is in the Laboratory. A Doctor is in the Park. A Clerk is in the Studio. A Clerk is in the Church. A Librarian is in the Bank. A Journalist is in the Studio. A Architect is in the Laboratory. A Doctor is in the Hotel. A Journalist is in the Church. A Pastor is in the Church. A Clerk is in the Construction Site. A Clerk is in the Library. A Writer is in the Pharmacy. A Doctor is in the Bank. A Doctor is in the University. A Electrician is in the Studio. A Police Officer is in the Restaurant. A Teacher is in the Police Station. A Chef is in the Bank. A Nurse is in the Police Station. A Chef is in the Farm. A Clerk is in the Hospital. A Clerk is in the Agency. A Artist is in the Restaurant. A Clerk is in the School. A Librarian is in the Studio. A Pastor is in the Park. Sentence 1 is ""A Doctor is in the Farm"". In the previous list, Sentence 1 is "|Doctor|0.14|Farm|0.04|present|absent|[-15.688301086425781, -13.315574645996094, -15.583166122436523, -21.1683349609375, -16.626663208007812, -17.695837020874023, -14.86874771118164, -14.023605346679688, -16.148040771484375, -13.989400863647461, -11.895036697387695, -18.947219848632812, -14.41873550415039, -12.683526992797852, -15.705007553100586, -18.757421493530273, -13.086210250854492, -14.979488372802734, -15.713350296020508, -16.318124771118164, -15.362861633300781, -18.473648071289062, -15.156293869018555, -12.903656005859375, -12.573993682861328, -15.177188873291016, -14.326131820678711, -17.02603530883789, -14.615230560302734, -18.907011032104492, -16.030811309814453, -12.731224060058594, -13.417631149291992, -14.651256561279297, -16.112323760986328, -16.338481903076172, -14.991495132446289, -13.239534378051758, -13.49418830871582, -12.231866836547852, -13.237188339233398, -16.409791946411133, -16.15433692932129, -14.855762481689453, -14.737337112426758, -14.64356803894043, -15.756011962890625, -16.602222442626953, -15.775432586669922, -13.204195022583008]
"Following is a list of sentences. A Clerk is in the Courthouse. A Clerk is in the Hotel. A Journalist is in the Hotel. A Pastor is in the Courthouse. A Chef is in the Police Station. A Pastor is in the Hotel. A Writer is in the Hotel. A Builder is in the Hotel. A Clerk is in the Bank. A Doctor is in the Studio. A Artist is in the Police Station. A Doctor is in the Church. A Pastor is in the Bank. A Pastor is in the Restaurant. A Writer is in the Bank. A Chef is in the Church. A Pastor is in the University. A Architect is in the Farm. A Doctor is in the Library. A Clerk is in the Police Station. A Pharmacist is in the Hotel. A Journalist is in the Police Station. A Artist is in the Office Building. A Clerk is in the Laboratory. A Doctor is in the Park. A Clerk is in the Studio. A Clerk is in the Church. A Librarian is in the Bank. A Journalist is in the Studio. A Architect is in the Laboratory. A Doctor is in the Hotel. A Journalist is in the Church. A Pastor is in the Church. A Clerk is in the Construction Site. A Clerk is in the Library. A Writer is in the Pharmacy. A Doctor is in the Bank. A Doctor is in the University. A Electrician is in the Studio. A Police Officer is in the Restaurant. A Teacher is in the Police Station. A Chef is in the Bank. A Nurse is in the Police Station. A Chef is in the Farm. A Clerk is in the Hospital. A Clerk is in the Agency. A Artist is in the Restaurant. A Clerk is in the School. A Librarian is in the Studio. A Pastor is in the Park. Sentence 1 is ""A Doctor is in the Church"". In the previous list, Sentence 1 is "|Doctor|0.14|Church|0.1|present|present|[-14.612369537353516, -15.767763137817383, -15.141740798950195, -12.392797470092773, -15.128578186035156, -13.228473663330078, -14.660978317260742, -13.592756271362305, -14.763988494873047, -14.701349258422852, -16.062612533569336, -16.640737533569336, -15.421821594238281, -13.735176086425781, -12.02596664428711, -17.817625045776367, -15.956192016601562, -14.06425666809082, -13.903629302978516, -13.99980354309082, -15.489891052246094, -14.200904846191406, -15.137378692626953, -15.298616409301758, -15.29220199584961, -12.907661437988281, -16.22813606262207, -13.647575378417969, -15.78702163696289, -15.195549011230469, -17.726608276367188, -14.186994552612305, -17.077199935913086, -16.360424041748047, -17.35946273803711, -17.57583236694336, -16.384090423583984, -16.113698959350586, -15.415124893188477, -15.783157348632812, -14.665641784667969, -19.25031280517578, -17.097248077392578, -15.298511505126953, -18.645851135253906, -13.374458312988281, -15.271137237548828, -14.91551399230957, -15.696399688720703, -16.8123779296875]
"Following is a list of sentences. A Clerk is in the Courthouse. A Clerk is in the Hotel. A Journalist is in the Hotel. A Pastor is in the Courthouse. A Chef is in the Police Station. A Pastor is in the Hotel. A Writer is in the Hotel. A Builder is in the Hotel. A Clerk is in the Bank. A Doctor is in the Studio. A Artist is in the Police Station. A Doctor is in the Church. A Pastor is in the Bank. A Pastor is in the Restaurant. A Writer is in the Bank. A Chef is in the Church. A Pastor is in the University. A Architect is in the Farm. A Doctor is in the Library. A Clerk is in the Police Station. A Pharmacist is in the Hotel. A Journalist is in the Police Station. A Artist is in the Office Building. A Clerk is in the Laboratory. A Doctor is in the Park. A Clerk is in the Studio. A Clerk is in the Church. A Librarian is in the Bank. A Journalist is in the Studio. A Architect is in the Laboratory. A Doctor is in the Hotel. A Journalist is in the Church. A Pastor is in the Church. A Clerk is in the Construction Site. A Clerk is in the Library. A Writer is in the Pharmacy. A Doctor is in the Bank. A Doctor is in the University. A Electrician is in the Studio. A Police Officer is in the Restaurant. A Teacher is in the Police Station. A Chef is in the Bank. A Nurse is in the Police Station. A Chef is in the Farm. A Clerk is in the Hospital. A Clerk is in the Agency. A Artist is in the Restaurant. A Clerk is in the School. A Librarian is in the Studio. A Pastor is in the Park. Sentence 1 is ""A Doctor is in the School"". In the previous list, Sentence 1 is "|Doctor|0.14|School|0.02|present|absent|[-13.404035568237305, -14.565134048461914, -14.733671188354492, -15.10406494140625, -15.119291305541992, -14.606781005859375, -21.85112190246582, -14.071739196777344, -15.933795928955078, -16.14761734008789, -14.156055450439453, -13.818258285522461, -12.199901580810547, -14.690938949584961, -16.181068420410156, -15.646198272705078, -15.149368286132812, -19.03180503845215, -12.622774124145508, -18.394479751586914, -14.455570220947266, -15.975770950317383, -13.296714782714844, -14.232015609741211, -17.62548065185547, -15.200296401977539, -12.709186553955078, -15.095355987548828, -13.393463134765625, -15.102794647216797, -14.442190170288086, -15.131484985351562, -14.306482315063477, -17.89173698425293, -13.894336700439453, -13.525362014770508, -18.139644622802734, -12.468965530395508, -14.866081237792969, -14.435422897338867, -17.080785751342773, -15.586362838745117, -15.958013534545898, -14.288721084594727, -18.487031936645508, -16.688743591308594, -15.319503784179688, -14.94401741027832, -14.464559555053711, -15.987770080566406]
"Following is a list of sentences. A Clerk is in the Courthouse. A Clerk is in the Hotel. A Journalist is in the Hotel. A Pastor is in the Courthouse. A Chef is in the Police Station. A Pastor is in the Hotel. A Writer is in the Hotel. A Builder is in the Hotel. A Clerk is in the Bank. A Doctor is in the Studio. A Artist is in the Police Station. A Doctor is in the Church. A Pastor is in the Bank. A Pastor is in the Restaurant. A Writer is in the Bank. A Chef is in the Church. A Pastor is in the University. A Architect is in the Farm. A Doctor is in the Library. A Clerk is in the Police Station. A Pharmacist is in the Hotel. A Journalist is in the Police Station. A Artist is in the Office Building. A Clerk is in the Laboratory. A Doctor is in the Park. A Clerk is in the Studio. A Clerk is in the Church. A Librarian is in the Bank. A Journalist is in the Studio. A Architect is in the Laboratory. A Doctor is in the Hotel. A Journalist is in the Church. A Pastor is in the Church. A Clerk is in the Construction Site. A Clerk is in the Library. A Writer is in the Pharmacy. A Doctor is in the Bank. A Doctor is in the University. A Electrician is in the Studio. A Police Officer is in the Restaurant. A Teacher is in the Police Station. A Chef is in the Bank. A Nurse is in the Police Station. A Chef is in the Farm. A Clerk is in the Hospital. A Clerk is in the Agency. A Artist is in the Restaurant. A Clerk is in the School. A Librarian is in the Studio. A Pastor is in the Park. Sentence 1 is ""A Doctor is in the Bank"". In the previous list, Sentence 1 is "|Doctor|0.14|Bank|0.12|present|present|[-15.775726318359375, -12.754423141479492, -13.850252151489258, -17.94622230529785, -17.245407104492188, -15.400861740112305, -18.305644989013672, -15.162683486938477, -15.694747924804688, -15.709575653076172, -19.60256576538086, -13.846822738647461, -16.003143310546875, -17.96092414855957, -14.259283065795898, -15.886959075927734, -14.725231170654297, -12.81094741821289, -16.019397735595703, -13.763866424560547, -15.03675651550293, -18.226619720458984, -15.113441467285156, -13.089420318603516, -17.713111877441406, -13.76141357421875, -13.126447677612305, -13.003135681152344, -16.12363624572754, -14.561216354370117, -18.30758285522461, -14.531776428222656, -14.467660903930664, -14.274946212768555, -14.7628173828125, -14.778688430786133, -13.335845947265625, -14.746835708618164, -16.498958587646484, -16.379642486572266, -17.064226150512695, -17.4393367767334, -16.85720443725586, -16.1332950592041, -13.664026260375977, -16.39366912841797, -15.225957870483398, -17.431137084960938, -13.829708099365234, -15.130254745483398]
"Following is a list of sentences. A Clerk is in the Courthouse. A Clerk is in the Hotel. A Journalist is in the Hotel. A Pastor is in the Courthouse. A Chef is in the Police Station. A Pastor is in the Hotel. A Writer is in the Hotel. A Builder is in the Hotel. A Clerk is in the Bank. A Doctor is in the Studio. A Artist is in the Police Station. A Doctor is in the Church. A Pastor is in the Bank. A Pastor is in the Restaurant. A Writer is in the Bank. A Chef is in the Church. A Pastor is in the University. A Architect is in the Farm. A Doctor is in the Library. A Clerk is in the Police Station. A Pharmacist is in the Hotel. A Journalist is in the Police Station. A Artist is in the Office Building. A Clerk is in the Laboratory. A Doctor is in the Park. A Clerk is in the Studio. A Clerk is in the Church. A Librarian is in the Bank. A Journalist is in the Studio. A Architect is in the Laboratory. A Doctor is in the Hotel. A Journalist is in the Church. A Pastor is in the Church. A Clerk is in the Construction Site. A Clerk is in the Library. A Writer is in the Pharmacy. A Doctor is in the Bank. A Doctor is in the University. A Electrician is in the Studio. A Police Officer is in the Restaurant. A Teacher is in the Police Station. A Chef is in the Bank. A Nurse is in the Police Station. A Chef is in the Farm. A Clerk is in the Hospital. A Clerk is in the Agency. A Artist is in the Restaurant. A Clerk is in the School. A Librarian is in the Studio. A Pastor is in the Park. Sentence 1 is ""A Doctor is in the Hotel"". In the previous list, Sentence 1 is "|Doctor|0.14|Hotel|0.14|present|present|[-17.688373565673828, -15.845197677612305, -13.865289688110352, -13.547834396362305, -13.493183135986328, -13.115959167480469, -16.339767456054688, -15.704147338867188, -18.89769744873047, -16.06562614440918, -14.685312271118164, -16.61332893371582, -15.452903747558594, -15.501592636108398, -13.975215911865234, -16.033763885498047, -16.226282119750977, -17.23880386352539, -16.61996841430664, -14.349166870117188, -14.463216781616211, -18.397695541381836, -16.54131317138672, -13.85365104675293, -15.223037719726562, -16.830827713012695, -16.708362579345703, -16.43268585205078, -16.181743621826172, -16.808860778808594, -14.195209503173828, -14.637643814086914, -15.648805618286133, -15.216009140014648, -16.141132354736328, -12.773447036743164, -16.313587188720703, -14.646575927734375, -14.654703140258789, -16.544445037841797, -15.487945556640625, -18.109363555908203, -14.047754287719727, -12.233463287353516, -14.027069091796875, -14.517223358154297, -16.577316284179688, -16.513164520263672, -13.857549667358398, -16.092302322387695]
"Following is a list of sentences. A Clerk is in the Courthouse. A Clerk is in the Hotel. A Journalist is in the Hotel. A Pastor is in the Courthouse. A Chef is in the Police Station. A Pastor is in the Hotel. A Writer is in the Hotel. A Builder is in the Hotel. A Clerk is in the Bank. A Doctor is in the Studio. A Artist is in the Police Station. A Doctor is in the Church. A Pastor is in the Bank. A Pastor is in the Restaurant. A Writer is in the Bank. A Chef is in the Church. A Pastor is in the University. A Architect is in the Farm. A Doctor is in the Library. A Clerk is in the Police Station. A Pharmacist is in the Hotel. A Journalist is in the Police Station. A Artist is in the Office Building. A Clerk is in the Laboratory. A Doctor is in the Park. A Clerk is in the Studio. A Clerk is in the Church. A Librarian is in the Bank. A Journalist is in the Studio. A Architect is in the Laboratory. A Doctor is in the Hotel. A Journalist is in the Church. A Pastor is in the Church. A Clerk is in the Construction Site. A Clerk is in the Library. A Writer is in the Pharmacy. A Doctor is in the Bank. A Doctor is in the University. A Electrician is in the Studio. A Police Officer is in the Restaurant. A Teacher is in the Police Station. A Chef is in the Bank. A Nurse is in the Police Station. A Chef is in the Farm. A Clerk is in the Hospital. A Clerk is in the Agency. A Artist is in the Restaurant. A Clerk is in the School. A Librarian is in the Studio. A Pastor is in the Park. Sentence 1 is ""A Doctor is in the Restaurant"". In the previous list, Sentence 1 is "|Doctor|0.14|Restaurant|0.06|present|absent|[-15.16313362121582, -15.21224594116211, -16.99161720275879, -16.028003692626953, -19.82970428466797, -16.808761596679688, -15.741769790649414, -13.669790267944336, -16.248638153076172, -14.651742935180664, -14.612251281738281, -13.041131973266602, -15.34988021850586, -16.390216827392578, -15.05909538269043, -13.999969482421875, -15.83133316040039, -17.062252044677734, -14.31155014038086, -17.884912490844727, -14.164712905883789, -16.65367889404297, -13.728282928466797, -16.71204948425293, -15.200326919555664, -16.015918731689453, -15.991296768188477, -18.29608917236328, -12.035776138305664, -14.852970123291016, -15.783369064331055, -15.909147262573242, -14.127779006958008, -14.353282928466797, -13.768245697021484, -16.888816833496094, -14.619895935058594, -17.001375198364258, -14.402738571166992, -14.699649810791016, -13.51785659790039, -14.574178695678711, -17.325531005859375, -14.002880096435547, -15.828634262084961, -12.809066772460938, -15.851778030395508, -12.74666976928711, -14.555231094360352, -15.731536865234375]
"Following is a list of sentences. A Clerk is in the Courthouse. A Clerk is in the Hotel. A Journalist is in the Hotel. A Pastor is in the Courthouse. A Chef is in the Police Station. A Pastor is in the Hotel. A Writer is in the Hotel. A Builder is in the Hotel. A Clerk is in the Bank. A Doctor is in the Studio. A Artist is in the Police Station. A Doctor is in the Church. A Pastor is in the Bank. A Pastor is in the Restaurant. A Writer is in the Bank. A Chef is in the Church. A Pastor is in the University. A Architect is in the Farm. A Doctor is in the Library. A Clerk is in the Police Station. A Pharmacist is in the Hotel. A Journalist is in the Police Station. A Artist is in the Office Building. A Clerk is in the Laboratory. A Doctor is in the Park. A Clerk is in the Studio. A Clerk is in the Church. A Librarian is in the Bank. A Journalist is in the Studio. A Architect is in the Laboratory. A Doctor is in the Hotel. A Journalist is in the Church. A Pastor is in the Church. A Clerk is in the Construction Site. A Clerk is in the Library. A Writer is in the Pharmacy. A Doctor is in the Bank. A Doctor is in the University. A Electrician is in the Studio. A Police Officer is in the Restaurant. A Teacher is in the Police Station. A Chef is in the Bank. A Nurse is in the Police Station. A Chef is in the Farm. A Clerk is in the Hospital. A Clerk is in the Agency. A Artist is in the Restaurant. A Clerk is in the School. A Librarian is in the Studio. A Pastor is in the Park. Sentence 1 is ""A Doctor is in the Construction Site"". In the previous list, Sentence 1 is "|Doctor|0.14|Construction Site|0.02|present|absent|[-14.090837478637695, -13.60978889465332, -14.990150451660156, -14.319536209106445, -15.81187629699707, -14.433467864990234, -18.260974884033203, -15.934354782104492, -17.2121524810791, -14.192525863647461, -16.243614196777344, -13.98727035522461, -16.118165969848633, -14.70050048828125, -15.110158920288086, -16.79004669189453, -14.089075088500977, -15.035409927368164, -16.55796241760254, -14.358589172363281, -16.61347007751465, -15.071512222290039, -13.791810989379883, -17.399616241455078, -16.26485252380371, -16.02402114868164, -14.644554138183594, -14.00875473022461, -13.802997589111328, -15.767816543579102, -14.433784484863281, -17.34256935119629, -17.493253707885742, -13.624092102050781, -16.778820037841797, -14.390239715576172, -13.906534194946289, -17.248313903808594, -14.690404891967773, -15.17990493774414, -17.801597595214844, -18.416215896606445, -14.753351211547852, -15.232568740844727, -12.895637512207031, -15.065650939941406, -14.294456481933594, -14.609994888305664, -18.634187698364258, -15.629276275634766]
"Following is a list of sentences. A Clerk is in the Courthouse. A Clerk is in the Hotel. A Journalist is in the Hotel. A Pastor is in the Courthouse. A Chef is in the Police Station. A Pastor is in the Hotel. A Writer is in the Hotel. A Builder is in the Hotel. A Clerk is in the Bank. A Doctor is in the Studio. A Artist is in the Police Station. A Doctor is in the Church. A Pastor is in the Bank. A Pastor is in the Restaurant. A Writer is in the Bank. A Chef is in the Church. A Pastor is in the University. A Architect is in the Farm. A Doctor is in the Library. A Clerk is in the Police Station. A Pharmacist is in the Hotel. A Journalist is in the Police Station. A Artist is in the Office Building. A Clerk is in the Laboratory. A Doctor is in the Park. A Clerk is in the Studio. A Clerk is in the Church. A Librarian is in the Bank. A Journalist is in the Studio. A Architect is in the Laboratory. A Doctor is in the Hotel. A Journalist is in the Church. A Pastor is in the Church. A Clerk is in the Construction Site. A Clerk is in the Library. A Writer is in the Pharmacy. A Doctor is in the Bank. A Doctor is in the University. A Electrician is in the Studio. A Police Officer is in the Restaurant. A Teacher is in the Police Station. A Chef is in the Bank. A Nurse is in the Police Station. A Chef is in the Farm. A Clerk is in the Hospital. A Clerk is in the Agency. A Artist is in the Restaurant. A Clerk is in the School. A Librarian is in the Studio. A Pastor is in the Park. Sentence 1 is ""A Doctor is in the Library"". In the previous list, Sentence 1 is "|Doctor|0.14|Library|0.04|present|present|[-15.418209075927734, -14.010269165039062, -16.982826232910156, -14.870954513549805, -17.462093353271484, -16.200532913208008, -13.457534790039062, -16.019662857055664, -15.390241622924805, -16.4357967376709, -15.795433044433594, -15.117799758911133, -16.775423049926758, -13.611715316772461, -15.008964538574219, -17.615144729614258, -13.270904541015625, -15.39018440246582, -15.478471755981445, -18.57564926147461, -15.353666305541992, -13.97174072265625, -13.621334075927734, -17.071531295776367, -15.151468276977539, -14.463706970214844, -16.570510864257812, -19.325313568115234, -13.295692443847656, -16.318944931030273, -18.869853973388672, -14.162155151367188, -18.639089584350586, -17.32822036743164, -15.587783813476562, -15.833883285522461, -14.643594741821289, -13.123519897460938, -15.119796752929688, -17.988664627075195, -14.479146957397461, -13.093969345092773, -14.981691360473633, -14.803363800048828, -15.52004623413086, -14.694488525390625, -13.87689208984375, -14.56381607055664, -15.797473907470703, -15.658256530761719]
