preamble,stimulus,item,category,"score (sum, mean, [list)",params,model
"A list includes raven, goldfinch, robin and swan. In the list a raven is",present.,raven,bird,"[-3.59375, -4.6875, -3.46875, -4.125, -4.1875, -4.59375, -3.875, -4.75, -4.125, -4.0, -4.375, -4.78125, -3.75, -4.4375, -3.375, -3.875, -4.25, -3.8125, -3.71875, -3.4375, -3.9375, -4.15625, -3.90625, -4.90625, -3.8125, -3.875, -3.1875, -3.65625, -4.78125, -3.21875, -4.03125, -4.1875, -4.625, -3.34375, -4.25, -4.375, -4.8125, -3.625, -3.96875, -4.03125, -4.3125, -4.375, -5.28125, -4.0, -3.875, -4.4375, -4.125, -4.65625, -4.03125, -3.5]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a goldfinch is",present.,goldfinch,bird,"[-3.75, -3.15625, -3.6875, -3.03125, -4.5625, -3.59375, -4.125, -3.9375, -3.75, -3.25, -3.46875, -4.09375, -3.84375, -5.46875, -3.96875, -4.4375, -4.03125, -4.375, -4.1875, -4.1875, -3.625, -4.1875, -4.40625, -3.375, -3.03125, -4.25, -4.5, -3.9375, -4.0, -4.65625, -3.34375, -4.09375, -4.09375, -3.53125, -4.59375, -3.875, -4.75, -3.875, -3.5625, -4.21875, -3.84375, -3.5, -4.78125, -4.4375, -3.625, -3.6875, -3.75, -3.25, -4.71875, -3.90625]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a robin is",present.,robin,bird,"[-3.53125, -3.65625, -3.53125, -4.25, -3.25, -4.1875, -3.9375, -3.84375, -4.0, -4.125, -3.1875, -3.59375, -3.1875, -4.4375, -3.890625, -4.671875, -4.875, -3.34375, -5.34375, -3.75, -3.6875, -4.125, -4.96875, -3.625, -4.09375, -4.375, -3.53125, -4.09375, -4.09375, -4.46875, -4.15625, -3.78125, -4.15625, -4.34375, -3.84375, -4.71875, -4.96875, -3.9375, -4.03125, -4.125, -3.9375, -3.59375, -5.375, -4.4375, -4.6875, -5.3125, -4.0625, -3.71875, -4.03125, -5.1875]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a swan is",present.,swan,bird,"[-4.03125, -4.1875, -3.96875, -4.40625, -4.6875, -4.34375, -3.6875, -4.21875, -3.40625, -4.15625, -4.75, -5.125, -4.875, -3.75, -3.75, -4.1875, -4.21875, -4.3125, -4.21875, -3.671875, -4.75, -3.78125, -4.25, -4.21875, -4.34375, -4.03125, -3.78125, -4.0, -4.84375, -4.71875, -4.5, -4.40625, -4.5625, -5.53125, -4.59375, -4.34375, -4.875, -4.28125, -4.34375, -5.0625, -4.0625, -5.03125, -4.28125, -4.75, -4.34375, -4.53125, -4.5625, -4.71875, -4.03125, -4.125]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a bluebird is",present.,bluebird,bird,"[-3.3125, -2.9375, -3.28125, -2.875, -3.0, -3.40625, -3.34375, -3.125, -2.75, -2.8125, -3.1875, -2.828125, -3.375, -3.03125, -2.90625, -2.9375, -3.09375, -2.6875, -2.9375, -3.40625, -3.09375, -2.6875, -3.3125, -2.6875, -3.34375, -3.0, -2.625, -2.78125, -3.15625, -3.09375, -2.9375, -3.0, -3.125, -3.65625, -2.703125, -3.15625, -3.09375, -3.15625, -3.234375, -2.75, -3.46875, -2.96875, -2.9375, -3.0, -3.25, -3.03125, -3.46875, -3.125, -3.3125, -3.28125]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a catbird is",present.,catbird,bird,"[-3.09375, -3.46875, -3.09375, -3.375, -3.03125, -3.6875, -3.5, -4.09375, -3.9375, -2.96875, -3.71875, -3.34375, -3.25, -3.28125, -3.375, -3.90625, -3.125, -3.1875, -3.5625, -3.9375, -3.34375, -3.4375, -2.78125, -2.78125, -3.15625, -3.46875, -2.84375, -3.0625, -3.15625, -3.0625, -3.03125, -3.5, -3.0625, -3.015625, -3.1875, -3.375, -3.84375, -2.515625, -2.875, -3.09375, -3.71875, -3.0, -3.125, -2.9375, -3.015625, -3.46875, -3.125, -2.59375, -2.875, -3.21875]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a finch is",present.,finch,bird,"[-3.75, -3.40625, -4.21875, -3.625, -3.5, -3.53125, -3.78125, -3.125, -3.8125, -3.5625, -3.640625, -3.34375, -3.90625, -3.84375, -3.875, -3.8125, -3.21875, -3.53125, -3.46875, -3.6875, -3.84375, -3.6875, -3.5625, -3.46875, -3.15625, -3.25, -3.90625, -3.9375, -3.375, -3.875, -3.09375, -3.65625, -2.9375, -3.65625, -3.40625, -3.5, -3.96875, -4.0625, -3.21875, -3.5, -3.71875, -3.03125, -3.34375, -3.53125, -3.53125, -3.34375, -3.0625, -3.5, -3.4375, -4.03125]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a goose is",present.,goose,bird,"[-4.0, -3.8125, -3.9375, -3.3125, -3.390625, -3.859375, -3.59375, -2.875, -3.53125, -3.09375, -3.0625, -3.53125, -3.375, -3.71875, -3.6875, -2.875, -3.53125, -3.5, -3.5, -3.34375, -3.125, -3.46875, -3.65625, -3.5, -3.3125, -3.40625, -3.0, -3.65625, -3.5, -3.875, -3.59375, -3.4375, -3.625, -4.1875, -3.375, -2.9375, -3.4375, -3.09375, -3.6875, -3.1875, -3.125, -3.5625, -3.375, -3.734375, -3.96875, -3.75, -3.75, -3.0, -3.28125, -3.21875]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a swallow is",present.,swallow,bird,"[-3.28125, -2.8125, -3.21875, -3.0625, -3.21875, -3.46875, -3.90625, -2.6484375, -2.78125, -2.875, -3.453125, -3.59375, -2.9375, -3.3125, -2.8125, -2.84375, -2.9375, -3.5, -3.40625, -3.0625, -3.03125, -2.75, -3.625, -2.8125, -3.0625, -3.75, -3.375, -3.21875, -3.3125, -2.75, -3.65625, -3.1875, -3.25, -3.15625, -2.96875, -2.96875, -3.4375, -3.4375, -3.1875, -3.40625, -3.03125, -3.53125, -3.03125, -3.25, -3.15625, -2.96875, -3.15625, -3.125, -3.3125, -4.0]",124439808,gpt2
"A list includes raven, goldfinch, robin and swan. In the list a toucan is",present.,toucan,bird,"[-3.578125, -3.53125, -3.34375, -2.75, -3.25, -3.25, -2.90625, -3.125, -3.15625, -3.625, -3.0, -3.0, -3.5, -3.171875, -3.875, -3.21875, -3.453125, -3.125, -3.46875, -3.15625, -3.125, -2.984375, -2.71875, -3.09375, -3.9375, -3.875, -3.15625, -3.0625, -2.9375, -3.21875, -3.375, -2.59375, -3.046875, -2.84375, -3.65625, -3.0625, -3.125, -3.15625, -3.734375, -3.171875, -4.40625, -2.96875, -2.59375, -2.84375, -3.03125, -3.03125, -4.0625, -3.0625, -3.46875, -3.65625]",124439808,gpt2
