Preamble,Stimulus,True_Category,Item,Rank,Category
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, pant is ",present,absent,pant,1,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, shirt is ",present,absent,shirt,2,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, dress is ",present,present,dress,3,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, skirt is ",present,present,skirt,4,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, blouse is ",present,present,blouse,5,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, suit is ",present,absent,suit,6,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, slack is ",present,present,slack,7,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, jacket is ",present,absent,jacket,8,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, coat is ",present,absent,coat,9,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, sweater is ",present,absent,sweater,10,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, sweatshirt is ",present,present,sweatshirt,11,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, underpant is ",present,absent,underpant,12,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, sports jacket is ",present,present,sports jacket,13,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, jumper is ",present,present,jumper,14,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, panty is ",present,absent,panty,15,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, sock is ",present,absent,sock,16,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, parka is ",present,absent,parka,17,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, pajama is ",present,absent,pajama,18,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, undershirt is ",present,absent,undershirt,19,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, overcoat is ",present,present,overcoat,20,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, nightgown is ",present,present,nightgown,21,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, raincoat is ",present,present,raincoat,22,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, bathing suit is ",present,present,bathing suit,23,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, bathrobe is ",present,absent,bathrobe,24,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, slip is ",present,present,slip,25,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, bra is ",present,present,bra,26,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, shoe is ",present,absent,shoe,27,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, tuxedo is ",present,absent,tuxedo,28,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, stocking is ",present,present,stocking,29,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, vest is ",present,present,vest,30,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, nylon is ",present,absent,nylon,31,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, cape is ",present,absent,cape,32,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, boot is ",present,absent,boot,33,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, sandal is ",present,present,sandal,34,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, tie is ",present,absent,tie,35,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, girdle is ",present,present,girdle,36,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, belt is ",present,absent,belt,37,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, scarf is ",present,absent,scarf,38,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, mitten is ",present,present,mitten,39,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, slipper is ",present,present,slipper,40,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, hat is ",present,present,hat,41,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, overshoe is ",present,present,overshoe,42,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, glove is ",present,present,glove,43,clothing
"Following is a list that contains a number of clothes. After the list, a clothing item will be judged as either present or absent in the list. If the list contains the clothing item, answer with present. If the list does not contain the clothing item, answer with absent. The list of clothes is: overcoat, apron, raincoat, blouse, mitten, sports jacket, vest, stocking, slipper, skirt, bra, slip, hoodie, nightgown, dress, sweatshirt, hat, jumper, girdle, bracelet, overshoe, sandal, slack, watch, bathing suit, necklace, glove, earring. According to the list, hoodie is present. According to the list, leggings are absent. According to the list, apron is ",present,present,apron,44,clothing
