Preamble,Stimulus,True_Category,Item,Rank,Category
"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: tomahawk, ice pick, slingshot, crossbow, arrow, Atom bomb, hand, brass knuckle, bow, fist, hatchet, airplane, sword, revolver, poison, shoe, missile, dagger, machine gun, glass, knife, stick, rope, whip, gun, club, rock, pipe, lance, mortar, hammer. According to the list, crossbow is present. According to the list, machete is absent. According to the list, gun is ",present,present,gun,1,weapon
"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: tomahawk, ice pick, slingshot, crossbow, arrow, Atom bomb, hand, brass knuckle, bow, fist, hatchet, airplane, sword, revolver, poison, shoe, missile, dagger, machine gun, glass, knife, stick, rope, whip, gun, club, rock, pipe, lance, mortar, hammer. According to the list, crossbow is present. According to the list, machete is absent. According to the list, pistol is ",present,absent,pistol,2,weapon
"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: tomahawk, ice pick, slingshot, crossbow, arrow, Atom bomb, hand, brass knuckle, bow, fist, hatchet, airplane, sword, revolver, poison, shoe, missile, dagger, machine gun, glass, knife, stick, rope, whip, gun, club, rock, pipe, lance, mortar, hammer. According to the list, crossbow is present. According to the list, machete is absent. According to the list, revolver is ",present,present,revolver,3,weapon
"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: tomahawk, ice pick, slingshot, crossbow, arrow, Atom bomb, hand, brass knuckle, bow, fist, hatchet, airplane, sword, revolver, poison, shoe, missile, dagger, machine gun, glass, knife, stick, rope, whip, gun, club, rock, pipe, lance, mortar, hammer. According to the list, crossbow is present. According to the list, machete is absent. According to the list, machine gun is ",present,present,machine gun,4,weapon
"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: tomahawk, ice pick, slingshot, crossbow, arrow, Atom bomb, hand, brass knuckle, bow, fist, hatchet, airplane, sword, revolver, poison, shoe, missile, dagger, machine gun, glass, knife, stick, rope, whip, gun, club, rock, pipe, lance, mortar, hammer. According to the list, crossbow is present. According to the list, machete is absent. According to the list, rifle is ",present,absent,rifle,5,weapon
"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: tomahawk, ice pick, slingshot, crossbow, arrow, Atom bomb, hand, brass knuckle, bow, fist, hatchet, airplane, sword, revolver, poison, shoe, missile, dagger, machine gun, glass, knife, stick, rope, whip, gun, club, rock, pipe, lance, mortar, hammer. According to the list, crossbow is present. According to the list, machete is absent. According to the list, switchblade is ",present,absent,switchblade,6,weapon
"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: tomahawk, ice pick, slingshot, crossbow, arrow, Atom bomb, hand, brass knuckle, bow, fist, hatchet, airplane, sword, revolver, poison, shoe, missile, dagger, machine gun, glass, knife, stick, rope, whip, gun, club, rock, pipe, lance, mortar, hammer. According to the list, crossbow is present. According to the list, machete is absent. According to the list, knife is ",present,present,knife,7,weapon
"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: tomahawk, ice pick, slingshot, crossbow, arrow, Atom bomb, hand, brass knuckle, bow, fist, hatchet, airplane, sword, revolver, poison, shoe, missile, dagger, machine gun, glass, knife, stick, rope, whip, gun, club, rock, pipe, lance, mortar, hammer. According to the list, crossbow is present. According to the list, machete is absent. According to the list, dagger is ",present,present,dagger,8,weapon
"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: tomahawk, ice pick, slingshot, crossbow, arrow, Atom bomb, hand, brass knuckle, bow, fist, hatchet, airplane, sword, revolver, poison, shoe, missile, dagger, machine gun, glass, knife, stick, rope, whip, gun, club, rock, pipe, lance, mortar, hammer. According to the list, crossbow is present. According to the list, machete is absent. According to the list, shotgun is ",present,absent,shotgun,9,weapon
"Following is a list that contains a number of weapons. After the list, a weapon will be judged as either present or absent in the list. If the list contains the weapon, answer with present. If the list does not contain the weapon, answer with absent. The list of weapons is: tomahawk, ice pick, slingshot, crossbow, arrow, Atom bomb, hand, brass knuckle, bow, fist, hatchet, airplane, sword, revolver, poison, shoe, missile, dagger, machine gun, glass, knife, stick, rope, whip, gun, club, rock, pipe, lance, mortar, hammer. According to the list, crossbow is present. According to the list, machete is absent. According to the list, sword is ",present,present,sword,10,weapon
